size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft
1050,Apartment,2,mayur vihar phase 1,20000,19.047619047619047
2250,Independent Floor,2,Swasthya Vihar,28000,12.444444444444445
1350,Independent Floor,2,Krishna Nagar,28000,20.74074074074074
450,Apartment,2,New Ashok Nagar,12500,27.77777777777778
600,Independent House,2,New Ashok Nagar,10000,16.666666666666668
600,Independent Floor,2,New Ashok Nagar,12000,20.0
900,Independent Floor,2,mayur vihar phase 1,15500,17.22222222222222
680,Independent Floor,2,mayur vihar phase 1,13000,19.11764705882353
700,Independent Floor,2,Anand Vihar,11000,15.714285714285714
1000,Independent House,2,Preet Vihar,14000,14.0
1080,Independent Floor,3,Shahdara,15000,13.88888888888889
3000,Independent Floor,3,Shahdara,100000,33.333333333333336
1000,Independent Floor,2,Krishna Nagar,16000,16.0
800,Independent House,2,other,22000,27.5
1700,Apartment,3,Mayur Vihar II,31000,18.235294117647058
1350,Independent Floor,3,other,45000,33.333333333333336
900,Independent Floor,2,Shahdara,16000,17.77777777777778
600,Independent House,2,New Ashok Nagar,10000,16.666666666666668
600,Independent Floor,2,New Ashok Nagar,12000,20.0
1800,Independent Floor,2,Swasthya Vihar,32000,17.77777777777778
1000,Independent Floor,3,Krishna Nagar,14000,14.0
1200,Apartment,2,Mayur Vihar II,32000,26.666666666666668
1200,Independent Floor,3,Krishna Nagar,28000,23.333333333333332
900,Independent Floor,3,Swasthya Vihar,15000,16.666666666666668
1800,Independent Floor,2,Preet Vihar,40000,22.22222222222222
1000,Apartment,2,Mayur Vihar,20000,20.0
650,Apartment,2,New Ashok Nagar,15000,23.076923076923077
1300,Independent Floor,2,Preet Vihar,30000,23.076923076923077
650,Independent House,2,Trilokpuri,12300,18.923076923076923
1000,Independent Floor,2,Preet Vihar,12000,12.0
1650,Independent Floor,3,Swasthya Vihar,33500,20.303030303030305
2350,Independent Floor,3,Preet Vihar,35000,14.893617021276595
650,Independent Floor,2,mayur vihar phase 1,13000,20.0
1300,Apartment,3,mayur vihar phase 1,26000,20.0
700,Apartment,2,New Ashok Nagar,14000,20.0
530,Independent Floor,2,Swasthya Vihar,12000,22.641509433962263
1550,Independent Floor,2,Anand Vihar,35500,22.903225806451612
1400,Independent Floor,3,Swasthya Vihar,20000,14.285714285714286
1200,Apartment,2,mayur vihar phase 1,27000,22.5
1000,Apartment,3,mayur vihar phase 1,22000,22.0
550,Independent Floor,2,mayur vihar phase 1,10300,18.727272727272727
640,Apartment,2,New Ashok Nagar,10000,15.625
550,Independent Floor,2,New Ashok Nagar,10500,19.09090909090909
900,Independent Floor,3,Swasthya Vihar,16000,17.77777777777778
2000,Independent Floor,2,Krishna Nagar,43000,21.5
2250,Independent Floor,3,Swasthya Vihar,45000,20.0
1620,Independent Floor,2,Preet Vihar,26000,16.049382716049383
1750,Independent Floor,2,Anand Vihar,45000,25.714285714285715
1800,Independent Floor,3,Anand Vihar,45000,25.0
1000,Apartment,2,mayur vihar phase 1,23000,23.0
1000,Apartment,2,mayur vihar phase 1,23000,23.0
1800,Independent Floor,3,Preet Vihar,35000,19.444444444444443
1350,Apartment,3,mayur vihar phase 1,38000,28.14814814814815
1000,Apartment,2,mayur vihar phase 1,26000,26.0
1400,Apartment,3,mayur vihar phase 1,30000,21.428571428571427
1000,Apartment,2,mayur vihar phase 1,25000,25.0
1150,Independent Floor,2,Krishna Nagar,30000,26.08695652173913
1200,Apartment,2,mayur vihar phase 1,32000,26.666666666666668
1350,Independent Floor,2,Preet Vihar,22000,16.296296296296298
1750,Independent Floor,2,Anand Vihar,40000,22.857142857142858
1000,Apartment,2,mayur vihar phase 1,25000,25.0
1200,Apartment,2,mayur vihar phase 1,28000,23.333333333333332
1000,Apartment,2,mayur vihar phase 1,25000,25.0
1000,Apartment,2,mayur vihar phase 1,26000,26.0
700,Independent Floor,2,Swasthya Vihar,12000,17.142857142857142
2250,Independent Floor,2,Preet Vihar,28000,12.444444444444445
1400,Apartment,3,mayur vihar phase 1,32000,22.857142857142858
900,Independent Floor,3,Swasthya Vihar,20000,22.22222222222222
650,Independent Floor,2,Swasthya Vihar,13500,20.76923076923077
1400,Independent Floor,3,Swasthya Vihar,20000,14.285714285714286
1250,Apartment,4,Preet Vihar,40000,32.0
1200,Apartment,3,mayur vihar phase 1,23000,19.166666666666668
1000,Apartment,2,mayur vihar phase 1,23000,23.0
1300,Apartment,3,mayur vihar phase 1,35000,26.923076923076923
1000,Apartment,3,mayur vihar phase 1,28000,28.0
1200,Apartment,2,mayur vihar phase 1,30000,25.0
1000,Apartment,2,mayur vihar phase 1,25000,25.0
1900,Villa,4,Preet Vihar,40000,21.05263157894737
1250,Independent Floor,2,Krishna Nagar,27000,21.6
1550,Independent Floor,2,Krishna Nagar,25000,16.129032258064516
1000,Apartment,2,mayur vihar phase 1,25000,25.0
1400,Apartment,3,mayur vihar phase 1,30000,21.428571428571427
1750,Independent Floor,3,Krishna Nagar,29600,16.914285714285715
1950,Independent Floor,3,Swasthya Vihar,40000,20.512820512820515
1850,Independent Floor,3,Preet Vihar,40000,21.62162162162162
2350,Independent Floor,3,Preet Vihar,40000,17.02127659574468
1600,Independent Floor,3,Swasthya Vihar,33300,20.8125
1750,Independent Floor,2,Krishna Nagar,35000,20.0
2450,Independent Floor,2,Swasthya Vihar,43600,17.79591836734694
1850,Independent Floor,2,Krishna Nagar,32000,17.2972972972973
1050,Apartment,2,mayur vihar phase 1,26000,24.761904761904763
1050,Apartment,2,mayur vihar phase 1,25000,23.80952380952381
1200,Apartment,3,mayur vihar phase 1,30000,25.0
1100,Apartment,2,mayur vihar phase 1,25000,22.727272727272727
1450,Apartment,3,mayur vihar phase 1,50000,34.48275862068966
800,Apartment,2,mayur vihar phase 1,24500,30.625
1450,Apartment,3,mayur vihar phase 1,30000,20.689655172413794
1050,Apartment,2,mayur vihar phase 1,30000,28.571428571428573
2250,Independent Floor,3,Swasthya Vihar,50000,22.22222222222222
1350,Independent Floor,2,Swasthya Vihar,25000,18.51851851851852
1800,Independent Floor,2,Swasthya Vihar,26500,14.722222222222221
2350,Independent Floor,2,Krishna Nagar,28500,12.127659574468085
1750,Independent House,3,Preet Vihar,45000,25.714285714285715
1800,Independent Floor,3,Preet Vihar,40000,22.22222222222222
2250,Independent Floor,2,Preet Vihar,60000,26.666666666666668
1550,Independent Floor,2,Preet Vihar,35000,22.580645161290324
1350,Independent Floor,2,Preet Vihar,30000,22.22222222222222
